ADTN.NQ
SYBT.NQ
EBTC.NQ
SONA.NQ
INBK.NQ
LOB.NQ
HOPE.NQ
FMBH.NQ
OSBC.NQ
BPFH.NQ
TBBK.NQ
FFIN.NQ
PVBC.NQ
MCBC.NQ
PFBC.NQ
FBIZ.NQ
GSBC.NQ
GNTY.NQ
PKBK.NQ
LBAI.NQ
TOWN.NQ
ORIT.NQ
PCSB.NQ
CVBF.NQ
UVSP.NQ
PLXS.NQ
DNBF.NQ
ISCA.NQ
UMPQ.NQ
HTBK.NQ
CHCO.NQ
CTXS.NQ
STLD.NQ
QCRH.NQ
NFLX.NQ
PTC.NQ
TXN.NQ
OSIS.NQ
TER.NQ
MMYT.NQ
ALK.NY
ALLY.NY
APH.NY
ABT.NY
MCB.NY
CUBI.NY
BXS.NY
CBU.NY
RLI.NY
FUL.NY
DLX.NY
RJF.NY
HTH.NY
PLD.NY
JNJ.NY
