AINV.NQ
MANH.NQ
ARTW.NQ
DOX.NQ
ALLT.NQ
JKHY.NQ
ROLL.NQ
NBIX.NQ
BFIN.NQ
MELR.NQ
MSVB.NQ
TECH.NQ
FGBI.NQ
CMCO.NQ
KLAC.NQ
CRVL.NQ
CDK.NQ
PCTY.NQ
PSEC.NQ
THFF.NQ
SENEB.NQ
CERN.NQ
KTCC.NQ
KTCC.NQ
CETV.NQ
CENT.NQ
CSWI.NQ
FOXA.NQ
CLCT.NQ
LANC.NQ
CNXN.NQ
PSDO.NQ
EGHT.NY
AFL.NY
APAM.NY
GAM.NY
ATGE.NY
ATI.NY
HP.NY
AXE.NY
ATKR.NY
ATKR.NY
ARMK.NY
ALL.NY
ATO.NY
ETH.NY
PBI.NY
BSM.NY
BDC.NY
BOOT.NY
ZBH.NY
F.NY
IPHI.NY
CB.NY
CNC.NY
MTG.NY
CMI.NY
RCL.NY
HPR.NY
SWI.NY
CIA.NY
GTES.NY
ETN.NY
KN.NY
MCK.NY
MKL.NY
OLN.NY
CCK.NY
GHL.NY
ETRN.NY
CLX.NY
WAT.NY
CMG.NY
CTS.NY
HAE.NY
TRNO.NY
RL.NY
RQI.NY
UTF.NY
COP.NY
EMR.NY
TCS.NY
GRA.NY
MOD.NY
UVV.NY
AQUA.NY
DIS.NY
CHKR.NY
ESE.NY
EXP.NY
JEC.NY
