CVLY.NQ
OZK.NQ
BMTC.NQ
EGBN.NQ
HOMB.NQ
WABC.NQ
INDB.NQ
CSX.NQ
PRGS.NQ
IIIN.NQ
STI.NY
BEDU.NY
BK.NY
FEDU.NY
SCHW.NY
WNS.NY
PPG.NY
MS.NY
