NWBI.NQ
EQBK.NQ
RBNC.NQ
IBKCP.NQ
NWFL.NQ
CSTR.NQ
MYFW.NQ
AXP.NY
APD.NY
BY.NY
OFG.NY
TY.NY
SNV.NY
SYF.NY
HRC.NY
