FCCY.NQ
FLWS.NQ
WRLD.NQ
CACC.NQ
AMZN.NQ
ARCB.NQ
ACBI.NQ
EA.NQ
AMTBB.NQ
ALXN.NQ
AMGN.NQ
VLYPP.NQ
BDGE.NQ
BWMC.NQ
SBBX.NQ
MBIN.NQ
MLVF.NQ
BIIB.NQ
HWBK.NQ
LEVL.NQ
KLDO.NQ
BSVN.NQ
MRLN.NQ
IROQ.NQ
KFFB.NQ
CCBG.NQ
BFIN.NQ
EPAY.NQ
TBBK.NQ
LSBK.NQ
FRBA.NQ
STBA.NQ
SHBI.NQ
FRME.NQ
SENEB.NQ
THFF.NQ
TSCO.NQ
WDC.NQ
CYOU.NQ
NATI.NQ
CVCO.NQ
OPOF.NQ
CATM.NQ
CFFN.NQ
SENEA.NQ
CY.NQ
CLBK.NQ
FFIC.NQ
AXTA.NY
APTV.NY
MO.NY
APO.NY
AIV.NY
LLY.NY
ADS.NY
AJG.NY
ABC.NY
BZH.NY
BC.NY
BCRH.NY
CFR.NY
BGG.NY
BX.NY
SPB.NY
CPT.NY
CNXM.NY
SF.NY
FICO.NY
CMS.NY
PH.NY
KO.NY
MUR.NY
MMC.NY
HSY.NY
CRS.NY
EW.NY
X.NY
CE.NY
EMO.NY
RTN.NY
VLO.NY
DECK.NY
NFG.NY
SHW.NY
VZ.NY
CNX.NY
WRK.NY
