UEPS.NQ
TWOU.NQ
ATVI.NQ
AMAG.NQ
FWRD.NQ
ISSC.NQ
APDN.NQ
AVXL.NQ
AMRK.NQ
AVNW.NQ
ASYS.NQ
BRKS.NQ
ABMD.NQ
ASYS.NQ
ALNY.NQ
DNKN.NQ
PACB.NQ
BFIN.NQ
FARM.NQ
FARM.NQ
BGCP.NQ
MBUU.NQ
STRO.NQ
MELR.NQ
MSVB.NQ
CTHR.NQ
VRTU.NQ
OCSI.NQ
GMDA.NQ
THFF.NQ
CDW.NQ
PNNT.NQ
GEOS.NQ
CETV.NQ
HAIN.NQ
IRMD.NQ
IRMD.NQ
OCSL.NQ
SIMO.NQ
CPST.NQ
NNA.NY
ARW.NY
AHH.NY
CBL.NY
BDX.NY
GAM.NY
WMS.NY
AGCO.NY
ARCH.NY
BKH.NY
SBH.NY
BMY.NY
BCO.NY
NGVC.NY
BV.NY
BLL.NY
BSIG.NY
BHE.NY
YUM.NY
HL.NY
HL.NY
GRC.NY
MAC.NY
CSL.NY
GLT.NY
NRZ.NY
MTW.NY
CI.NY
VVI.NY
FTV.NY
KEM.NY
MNR.NY
DXC.NY
MDP.NY
CAH.NY
TDC.NY
VCRA.NY
OFC.NY
ETRN.NY
CIA.NY
PBH.NY
NJR.NY
EHC.NY
TRNO.NY
RQI.NY
UTF.NY
DLX.NY
CDR.NY
