FCCY.NQ
AZPN.NQ
ALGT.NQ
ABTX.NQ
ABTX.NQ
KLIC.NQ
ADP.NQ
ALGN.NQ
BDGE.NQ
ISBC.NQ
UBSI.NQ
SYBT.NQ
MBIN.NQ
MLVF.NQ
KLDO.NQ
HWBK.NQ
LEVL.NQ
BRKL.NQ
PUB.NQ
KFFB.NQ
IROQ.NQ
VLY.NQ
BFIN.NQ
ESSA.NQ
CCBG.NQ
FIBK.NQ
SBT.NQ
STXB.NQ
JBSS.NQ
LSBK.NQ
SHBI.NQ
FRBA.NQ
FMNB.NQ
HBNC.NQ
CBTX.NQ
CRUS.NQ
CNMD.NQ
OPOF.NQ
SEIC.NQ
CATM.NQ
CVLT.NQ
CLBK.NQ
LRCX.NQ
CMPR.NQ
CASS.NQ
MFNC.NQ
CREE.NQ
MSFT.NQ
AMP.NY
AVY.NY
AXS.NY
ADM.NY
PKG.NY
AX.NY
ANTM.NY
WAIR.NY
ROK.NY
KYN.NY
T.NY
MAA.NY
FBHS.NY
BDN.NY
SWK.NY
NYCB.NY
EAT.NY
PB.NY
BA.NY
OFG.NY
CRR.NY
MPX.NY
GE.NY
LVS.NY
GHM.NY
RCL.NY
MPC.NY
OSK.NY
MCD.NY
SC.NY
SMG.NY
CPF.NY
ETN.NY
NSC.NY
IEX.NY
ETRN.NY
MTH.NY
CMO.NY
CLB.NY
