AAL.NQ
JBLU.NQ
TEAM.NQ
ABCB.NQ
AVT.NQ
IBCP.NQ
PPBI.NQ
FFBC.NQ
HBMD.NQ
GBCI.NQ
SBCF.NQ
EQBK.NQ
EWBC.NQ
CNOB.NQ
SASR.NQ
DCOM.NQ
MSBI.NQ
RBCAA.NQ
RBNC.NQ
BANR.NQ
WTBA.NQ
COLB.NQ
PGC.NQ
ETFC.NQ
CMCSA.NQ
INTC.NQ
SFNC.NQ
CSTR.NQ
HFWA.NQ
IBKC.NQ
SIVB.NQ
MYFW.NQ
MOFG.NQ
SBFG.NQ
NXGN.NQ
ISRG.NQ
SWKS.NQ
MRTN.NQ
ABBV.NY
LUV.NY
ASB.NY
AVX.NY
WAL.NY
AIT.NY
CADE.NY
NBHC.NY
BY.NY
BANC.NY
BKU.NY
MTB.NY
ORI.NY
WBS.NY
PG.NY
TRV.NY
CL.NY
UNP.NY
KMB.NY
VFC.NY
GATX.NY
DFS.NY
NEP.NY
NEE.NY
FCX.NY
FOR.NY
NVR.NY
KEY.NY
