FCCY.NQ
AMAL.NQ
BWMC.NQ
BFIN.NQ
KFFB.NQ
SBSI.NQ
THFF.NQ
SENEB.NQ
CARO.NQ
CHTR.NQ
CASS.NQ
GNTX.NQ
CPLP.NQ
TWIN.NQ
MFSF.NQ
NICK.NQ
GENC.NQ
MNOV.NQ
TOPS.NQ
USLM.NQ
WETF.NQ
USAK.NQ
IDXX.NQ
VVPR.NQ
JOUT.NQ
VTVT.NQ
PSX.NY
PSXP.NY
BAH.NY
ADNT.NY
AON.NY
BERY.NY
BR.NY
CHD.NY
XOM.NY
CL.NY
CAT.NY
JCI.NY
KKR.NY
WY.NY
EMO.NY
RQI.NY
UTF.NY
CVX.NY
PFS.NY
THR.NY
OPY.NY
HON.NY
ITW.NY
OMN.NY
MAN.NY
LYB.NY
NMM.NY
