AMAL.NQ
AMD.NQ
GABC.NQ
ARLP.NQ
AMGN.NQ
UBSI.NQ
OPB.NQ
WASH.NQ
TCBK.NQ
PWOD.NQ
NBTB.NQ
IBTX.NQ
BMRC.NQ
CCBG.NQ
CSFL.NQ
BUSE.NQ
HTBI.NQ
PMBC.NQ
HBNC.NQ
NRIM.NQ
RBB.NQ
JVA.NQ
LKFN.NQ
KLAC.NQ
JJSF.NQ
ISTR.NQ
OCFC.NQ
PFIS.NQ
COHR.NQ
CCNE.NQ
SSB.NQ
SANM.NQ
CHFC.NQ
EFII.NQ
SMMF.NQ
FLXS.NQ
FFIV.NQ
HTLF.NQ
PROV.NQ
HMST.NQ
HA.NQ
MKSI.NQ
ILMN.NQ
WWD.NQ
WSBC.NQ
RMBS.NQ
MSTR.NQ
VVPR.NQ
MMM.NY
EGHT.NY
AGN.NY
AKS.NY
ETH.NY
AXE.NY
ROK.NY
KYN.NY
BXP.NY
BOH.NY
BHLB.NY
FBP.NY
SALT.NY
BRO.NY
WHR.NY
IPHI.NY
POL.NY
CE.NY
RGS.NY
HRS.NY
ETRN.NY
CIT.NY
WNC.NY
DOV.NY
CR.NY
GLW.NY
XRX.NY
XRX.NY
TCF.NY
DHI.NY
EXP.NY
ELS.NY
ELS.NY
GGG.NY
RHI.NY
HI.NY
TSS.NY
PKI.NY
MTOR.NY
NTP.NY
LLL.NY
PNR.NY
