Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%)
ASPU,Aspen Group Inc,After Market Close,-0.07,,
ASFI,Asta Funding Inc,TAS,,,
AZO,Autozone Inc,TAS,13.77,,
ABIL,Ability Inc,Before Market Open,,,
OLLI,Ollie's Bargain Outlet Holdings Inc,TAS,0.38,,
PLAY,Dave & Buster's Entertainment Inc,After Market Close,0.02,,
CBKC,Christopher & Banks Corp,TAS,,,
ENZ,Enzo Biochem Inc,TAS,,,
ENZ,Enzo Biochem Inc,After Market Close,,,
DBI,Designer Brands Inc,TAS,0.74,,
GME,GameStop Corp,After Market Close,0.11,,
CMD,Cantel Medical Corp,TAS,0.58,,
CSPI,CSP Inc,TAS,,,
FRAN,Francesca's Holdings Corp,TAS,,,
CPAH,CounterPath Corp,Before Market Open,,,
DJCO,Daily Journal Corp,Time Not Supplied,,,
UTF,Cohen & Steers Infrastructure Fund Inc,Time Not Supplied,,,
RQI,Cohen & Steers Quality Income Realty Fund Inc,After Market Close,,,
CONN,Conn's Inc,TAS,0.54,,
LITB,LightInTheBox Holding Co Ltd,TAS,,,
ROAD,Construction Partners Inc,TAS,0.34,,
HURC,Hurco Companies Inc,After Market Close,,,
DSL,DoubleLine Income Solutions Fund,Time Not Supplied,,,
HDS,HD Supply Holdings Inc,TAS,0.99,,
PPIH,Perma-Pipe International Holdings Inc,TAS,,,
IVRO,InVitro International,Time Not Supplied,,,
TOPS,Top Ships Inc,TAS,,,
ZDGE,Zedge Inc,After Market Close,,,
PHR,Phreesia Inc,TAS,-0.08,,
OPTT,Ocean Power Technologies Inc,TAS,,,
LQDT,Liquidity Services Inc,TAS,-0.02,,
IMKTA,Ingles Markets Inc,TAS,,,
