AZPN.NQ
AMTD.NQ
UAL.NQ
CATY.NQ
TBK.NQ
SFBS.NQ
ZIONW.NQ
ESSA.NQ
UCBI.NQ
ONB.NQ
TCBI.NQ
FNLC.NQ
FBNC.NQ
MBWM.NQ
PEBO.NQ
SMED.NQ
NTRS.NQ
SLM.NQ
CHMG.NQ
NAVI.NQ
FULT.NQ
ORRF.NQ
WAFD.NQ
IBM.NY
STL.NY
HXL.NY
LVS.NY
HAL.NY
CMRE.NY
SLG.NY
CMA.NY
TEL.NY
COF.NY
CNS.NY
FNB.NY
TAL.NY
HZO.NY
TDY.NY
