AMAG.NQ
VIVO.NQ
CIVB.NQ
BFIN.NQ
MELR.NQ
MSVB.NQ
STRO.NQ
GMDA.NQ
ROAD.NQ
FFBW.NQ
OFLX.NQ
SG.NQ
HYRE.NQ
ONVO.NQ
LIVX.NQ
MNOV.NQ
TOPS.NQ
RGCO.NQ
VTVT.NQ
TZOO.NQ
ABBV.NY
GAM.NY
MSG.NY
UFS.NY
CIA.NY
UTF.NY
RQI.NY
FE.NY
HBI.NY
