WTER.NQ
AEMD.NQ
AMKR.NQ
ASTC.NQ
AWRE.NQ
ASFI.NQ
MPAA.NQ
HNNA.NQ
MESA.NQ
NAII.NQ
BBGI.NQ
BFIN.NQ
GBDC.NQ
BLKB.NQ
LMNX.NQ
CPSS.NQ
PSEC.NQ
GMDA.NQ
CRNT.NQ
FLDM.NQ
LSCC.NQ
SABR.NQ
GEC.NQ
FONR.NQ
PCYG.NQ
APPS.NQ
DMPI.NQ
JCOM.NQ
SG.NQ
GRPN.NQ
LRAD.NQ
GRTS.NQ
GPRE.NQ
GPP.NQ
RPD.NQ
LOGC.NQ
MNOV.NQ
TOPS.NQ
VRNS.NQ
ARGO.NY
AGN.NY
AIZ.NY
AIN.NY
BRX.NY
BIP.NY
CNA.NY
KMPR.NY
CMP.NY
SCCO.NY
L.NY
CHGG.NY
MCY.NY
IVC.NY
EPC.NY
ELVT.NY
CIA.NY
MCC.NY
DAC.NY
ELY.NY
DVA.NY
DO.NY
RE.NY
EARN.NY
VOYA.NY
FRT.NY
OMF.NY
MOH.NY
RNG.NY
WTS.NY
